,county,occupied_units,vacant_units,year,percent_occupied,total_units
65,"Adams County, Ohio",10816,2051,2013,0.8405999844563612,12867
66,"Allen County, Ohio",40552,4350,2013,0.9031223553516547,44902
67,"Ashland County, Ohio",20207,1871,2013,0.9152550049823354,22078
68,"Ashtabula County, Ohio",38952,7006,2013,0.8475564645981113,45958
69,"Athens County, Ohio",22181,4098,2013,0.844057993074318,26279
70,"Auglaize County, Ohio",18241,1337,2013,0.931709061191133,19578
71,"Belmont County, Ohio",28329,3998,2013,0.8763262907167383,32327
72,"Brown County, Ohio",16380,2881,2013,0.850423134832044,19261
73,"Butler County, Ohio",134612,13691,2013,0.9076822451332744,148303
74,"Carroll County, Ohio",11107,2521,2013,0.8150132081009686,13628
75,"Champaign County, Ohio",15014,1693,2013,0.8986652301430538,16707
76,"Clark County, Ohio",54963,6304,2013,0.8971061093247589,61267
77,"Clermont County, Ohio",73728,7189,2013,0.9111558757739412,80917
78,"Clinton County, Ohio",15969,2119,2013,0.8828505086245024,18088
79,"Columbiana County, Ohio",42095,4787,2013,0.8978925813745148,46882
80,"Coshocton County, Ohio",14495,1931,2013,0.8824424692560575,16426
81,"Crawford County, Ohio",17655,2436,2013,0.8787516798566523,20091
82,"Cuyahoga County, Ohio",534476,85552,2013,0.8620191346197269,620028
83,"Darke County, Ohio",20776,1913,2013,0.9156860152496804,22689
84,"Defiance County, Ohio",15203,1500,2013,0.9101957732143926,16703
85,"Delaware County, Ohio",64208,2807,2013,0.9581138551070656,67015
86,"Erie County, Ohio",31972,5795,2013,0.8465591654089549,37767
87,"Fairfield County, Ohio",54309,4482,2013,0.9237638414042966,58791
0,"Adams County, Ohio",10923,1990,2012,0.8458917370092155,12913
1,"Allen County, Ohio",40622,4373,2012,0.902811423491499,44995
2,"Ashland County, Ohio",20266,1862,2012,0.9158532176428055,22128
3,"Ashtabula County, Ohio",38889,7166,2012,0.8444034306807079,46055
4,"Athens County, Ohio",22221,4078,2012,0.8449370698505647,26299
5,"Auglaize County, Ohio",18342,1223,2012,0.937490416560184,19565
6,"Belmont County, Ohio",28716,3692,2012,0.8860775117254999,32408
7,"Brown County, Ohio",16289,2984,2012,0.8451720022829866,19273
8,"Butler County, Ohio",134945,13061,2012,0.9117535775576666,148006
9,"Carroll County, Ohio",11424,2240,2012,0.8360655737704918,13664
10,"Champaign County, Ohio",15240,1508,2012,0.909959398137091,16748
11,"Clark County, Ohio",54959,6495,2012,0.8943111921111726,61454
12,"Clermont County, Ohio",73859,6802,2012,0.9156717620659303,80661
13,"Clinton County, Ohio",16018,2112,2012,0.883507997793712,18130
14,"Columbiana County, Ohio",42476,4549,2012,0.903264221158958,47025
15,"Coshocton County, Ohio",14516,1977,2012,0.8801309646516704,16493
16,"Crawford County, Ohio",17664,2480,2012,0.8768864177918984,20144
17,"Cuyahoga County, Ohio",534899,86285,2012,0.8610959071708222,621184
18,"Darke County, Ohio",20856,1832,2012,0.9192524682651622,22688
19,"Defiance County, Ohio",15302,1432,2012,0.914425720090833,16734
20,"Delaware County, Ohio",63376,2918,2012,0.9559839502820768,66294
21,"Erie County, Ohio",31712,6126,2012,0.838099265288863,37838
22,"Fairfield County, Ohio",54302,4269,2012,0.9271141008348841,58571
23,"Fayette County, Ohio",11474,1205,2012,0.9049609590661725,12679
24,"Franklin County, Ohio",464018,63868,2012,0.8790117563261765,527886
25,"Fulton County, Ohio",16358,1012,2012,0.9417386298215313,17370
26,"Gallia County, Ohio",11885,2007,2012,0.8555283616469911,13892
27,"Geauga County, Ohio",34624,1873,2012,0.9486807134833,36497
28,"Greene County, Ohio",62681,5556,2012,0.918577897621525,68237
29,"Guernsey County, Ohio",15808,3377,2012,0.8239770654156894,19185
30,"Hamilton County, Ohio",326023,51601,2012,0.863353494481283,377624
31,"Hancock County, Ohio",30342,2829,2012,0.9147146603961291,33171
32,"Hardin County, Ohio",11822,1309,2012,0.9003122382149112,13131
33,"Harrison County, Ohio",6324,1830,2012,0.775570272259014,8154
34,"Henry County, Ohio",11151,812,2012,0.9321240491515506,11963
35,"Highland County, Ohio",16969,2339,2012,0.8788585042469442,19308
36,"Hocking County, Ohio",11562,1810,2012,0.8646425366437331,13372
37,"Holmes County, Ohio",12183,1429,2012,0.8950191007934176,13612
38,"Huron County, Ohio",22673,2493,2012,0.9009377731860446,25166
39,"Jackson County, Ohio",13411,1161,2012,0.9203266538567115,14572
40,"Jefferson County, Ohio",28608,4199,2012,0.8720090224647179,32807
41,"Knox County, Ohio",22483,2630,2012,0.8952733643929439,25113
42,"Lake County, Ohio",94389,6647,2012,0.9342115681539254,101036
43,"Lawrence County, Ohio",23990,3606,2012,0.8693288882446731,27596
44,"Licking County, Ohio",63781,5427,2012,0.9215842099179286,69208
45,"Logan County, Ohio",18050,5124,2012,0.7788901354966773,23174
46,"Lorain County, Ohio",116391,10535,2012,0.9169988812378866,126926
47,"Lucas County, Ohio",178615,24008,2012,0.8815139446163565,202623
48,"Madison County, Ohio",14779,1124,2012,0.9293215116644659,15903
49,"Mahoning County, Ohio",98460,13409,2012,0.8801365883309943,111869
